price_date,close_price
2019-01-02,73.0811
2019-01-03,71.7884
2019-01-04,73.6633
2019-01-07,74.7192
2019-01-08,75.7158
2019-01-09,75.5777
2019-01-10,75.4099
2019-01-11,75.0349
2019-01-14,75.0843
2019-01-15,76.8506
2019-01-16,76.6533
2019-01-17,78.0841
2019-01-18,79.3867
2019-01-22,79.6827
2019-01-23,79.436
2019-01-24,79.3768
2019-01-25,79.5445
2019-01-28,79.2584
2019-01-29,79.1597
2019-01-30,80.2057
2019-01-31,80.7978
2019-02-01,80.4326
2019-02-04,80.9063
2019-02-05,81.7648
2019-02-06,81.6168
2019-02-07,81.301
2019-02-08,81.2714
2019-02-11,82.574
2019-02-12,83.5903
2019-02-13,84.2712
2019-02-14,83.5607
2019-02-15,84.2515
2019-02-19,83.4522
2019-02-20,83.7186
2019-02-21,82.8404
2019-02-22,83.6397
2019-02-25,84.0443
2019-02-26,84.6659
2019-02-27,85.0311
2019-02-28,84.5969
2019-03-01,86.2293
2019-03-04,84.7255
2019-03-05,84.5276
2019-03-06,84.2209
2019-03-07,84.3495
2019-03-08,83.8944
2019-03-11,84.9036
2019-03-12,84.5177
2019-03-13,85.0124
2019-03-14,85.9423
2019-03-15,85.8731
2019-03-18,86.8822
2019-03-19,86.7536
2019-03-20,85.7643
2019-03-21,87.0702
2019-03-22,81.3123
2019-03-25,81.4508
2019-03-26,82.4896
2019-03-27,82.2027
2019-03-28,83.1426
2019-03-29,83.3107
2019-04-01,84.3199
2019-04-02,83.469
2019-04-03,83.568
2019-04-04,84.3693
2019-04-05,84.488
2019-04-08,83.8252
2019-04-09,83.38
2019-04-10,83.9736
2019-04-11,84.0923
2019-04-12,85.3191
2019-04-15,85.9028
2019-04-16,86.8624
2019-04-17,87.7825
2019-04-18,88.2475
2019-04-22,86.4271
2019-04-23,86.4964
2019-04-24,87.4461
2019-04-25,86.625
2019-04-26,87.367
2019-04-29,87.3175
2019-04-30,86.8921
2019-05-01,84.9827
2019-05-02,84.3594
2019-05-03,84.7848
2019-05-06,82.6776
2019-05-07,81.6586
2019-05-08,81.8861
2019-05-09,82.0939
2019-05-10,83.0535
2019-05-13,81.6487
2019-05-14,82.7765
2019-05-15,83.1129
2019-05-16,83.38
2019-05-17,83.6669
2019-05-20,81.9653
2019-05-21,82.7468
2019-05-22,82.3115
2019-05-23,81.7575
2019-05-24,81.2826
