price_date,close_price
2019-01-02,24.25
2019-01-03,23.8614
2019-01-04,24.8524
2019-01-07,24.833
2019-01-08,24.7844
2019-01-09,25.0273
2019-01-10,24.9981
2019-01-11,25.2896
2019-01-14,25.6199
2019-01-15,25.7948
2019-01-16,27.6408
2019-01-17,28.1654
2019-01-18,28.4666
2019-01-22,28.2626
2019-01-23,28.0974
2019-01-24,28.2529
2019-01-25,28.7386
2019-01-28,28.7872
2019-01-29,28.554
2019-01-30,28.2431
2019-01-31,27.6602
2019-02-01,27.5728
2019-02-04,28.0585
2019-02-05,27.9614
2019-02-06,27.9128
2019-02-07,27.4368
2019-02-08,27.4853
2019-02-11,27.6019
2019-02-12,27.874
2019-02-13,27.8837
2019-02-14,27.5825
2019-02-15,28.282
2019-02-19,28.3014
2019-02-20,28.5735
2019-02-21,28.4569
2019-02-22,28.2529
2019-02-25,28.4375
2019-02-26,28.4569
2019-02-27,28.6901
2019-02-28,28.3971
2019-03-01,28.6217
2019-03-04,28.3483
2019-03-05,28.3971
2019-03-06,28.1627
2019-03-07,27.8796
2019-03-08,27.9772
2019-03-11,28.2604
2019-03-12,28.2604
2019-03-13,28.6022
2019-03-14,28.7682
2019-03-15,28.6119
2019-03-18,29.1197
2019-03-19,28.9537
2019-03-20,27.9674
2019-03-21,27.5182
2019-03-22,26.3757
2019-03-25,26.2097
2019-03-26,26.571
2019-03-27,26.3953
2019-03-28,26.6882
2019-03-29,26.9421
2019-04-01,27.8698
2019-04-02,28.192
2019-04-03,28.1627
2019-04-04,28.4655
2019-04-05,28.3971
2019-04-08,28.485
2019-04-09,28.2116
2019-04-10,28.3873
2019-04-11,28.3873
2019-04-12,29.4615
2019-04-15,29.1393
2019-04-16,29.1783
2019-04-17,29.3248
2019-04-18,29.3248
2019-04-22,29.3443
2019-04-23,29.3639
2019-04-24,29.315
2019-04-25,29.3736
2019-04-26,29.6373
2019-04-29,30.0474
2019-04-30,29.8619
2019-05-01,29.5494
2019-05-02,29.7838
2019-05-03,29.9888
2019-05-06,29.7545
2019-05-07,29.2174
2019-05-08,29.1002
2019-05-09,29.0123
2019-05-10,28.8854
2019-05-13,27.5866
2019-05-14,27.9479
2019-05-15,27.6257
2019-05-16,27.9186
2019-05-17,27.7331
2019-05-20,27.7331
2019-05-21,28.0163
2019-05-22,27.821
2019-05-23,27.1081
2019-05-24,27.5182
2019-05-28,27.2448
2019-05-29,27.0983
2019-05-30,26.5222
2019-05-31,25.9753
2019-06-03,26.0535
2019-06-04,27.2643
2019-06-05,27.2546
2019-06-06,27.3724
2019-06-07,27.0288
2019-06-10,27.5589
2019-06-11,27.7258
2019-06-12,27.4411
2019-06-13,27.4313
2019-06-14,27.5295
2019-06-17,27.4215
2019-06-18,28.0989
2019-06-19,27.8044
2019-06-20,27.7553
2019-06-21,27.608
2019-06-24,27.4706
2019-06-25,27.2546
2019-06-26,27.4019
2019-06-27,27.6964
2019-06-28,28.472
2019-07-01,28.8844
2019-07-02,28.6193
2019-07-03,28.5211
2019-07-05,28.7273
2019-07-08,28.6684
2019-07-09,28.8156
2019-07-10,28.4916
2019-07-11,28.8255
2019-07-12,28.9138
2019-07-15,28.688
2019-07-16,28.4622
2019-07-17,28.6586
2019-07-18,28.9433
2019-07-19,28.8647
2019-07-22,29.0316
2019-07-23,29.6992
2019-07-24,30.1116
2019-07-25,29.7876
2019-07-26,30.2098
2019-07-29,29.9643
2019-07-30,30.3276
2019-07-31,30.1214
2019-08-01,28.9531
2019-08-02,28.8451
2019-08-05,27.5688
2019-08-06,27.9026
2019-08-07,27.3822
2019-08-08,27.8633
2019-08-09,27.8142
2019-08-12,27.1368
2019-08-13,27.2153
2019-08-14,25.939
2019-08-15,25.7721
2019-08-16,26.5379
2019-08-19,26.7735
2019-08-20,26.2335
2019-08-21,26.4397
2019-08-22,26.695
2019-08-23,25.9881
2019-08-26,26.2924
2019-08-27,25.9881
2019-08-28,26.3612
2019-08-29,26.8324
2019-08-30,27.0091
2019-09-03,26.5575
2019-09-04,26.9895
2019-09-05,27.79
2019-09-06,27.4046
2019-09-09,28.294
2019-09-10,29.0056
2019-09-11,29.1143
2019-09-12,29.3218
2019-09-13,29.8159
2019-09-16,29.7764
2019-09-17,29.5886
2019-09-18,29.6479
2019-09-19,29.47
2019-09-20,29.2427
2019-09-23,29.1736
2019-09-24,28.6004
2019-09-25,28.9067
2019-09-26,28.7881
2019-09-27,29.0056
2019-09-30,28.8277
2019-10-01,28.1062
2019-10-02,27.5133
2019-10-03,27.4836
2019-10-04,28.0371
2019-10-07,27.9778
2019-10-08,27.3057
2019-10-09,27.5627
2019-10-10,28.1161
2019-10-11,28.5707
2019-10-14,28.798
