price_date,close_price
2019-01-02,131.6611
2019-01-03,126.9165
2019-01-04,132.3842
2019-01-07,134.7713
2019-01-08,135.5043
2019-01-09,137.0991
2019-01-10,137.3566
2019-01-11,136.7524
2019-01-14,135.8015
2019-01-15,136.0392
2019-01-16,136.0392
2019-01-17,135.9798
2019-01-18,137.1882
2019-01-22,136.7425
2019-01-23,135.7123
2019-01-24,136.3958
2019-01-25,137.3566
2019-01-28,134.702
2019-01-29,133.7214
2019-01-30,136.2968
2019-01-31,133.7313
2019-02-01,138.8226
2019-02-04,140.1599
2019-02-05,141.1801
2019-02-06,140.1499
2019-02-07,138.8424
2019-02-08,139.0505
2019-02-11,139.4664
2019-02-12,140.6452
2019-02-13,142.131
2019-02-14,142.0516
2019-02-15,143.7881
2019-02-19,143.3217
2019-02-20,143.6095
2019-02-21,142.8851
2019-02-22,144.7406
2019-02-25,144.9291
2019-02-26,145.9016
2019-02-27,146.0802
2019-02-28,146.9732
2019-03-01,148.3127
2019-03-04,146.8144
2019-03-05,146.8045
2019-03-06,146.6656
2019-03-07,145.6932
2019-03-08,146.2092
2019-03-11,149.5034
2019-03-12,150.5552
2019-03-13,151.2895
2019-03-14,153.0061
2019-03-15,154.2564
2019-03-18,153.7602
2019-03-19,153.3931
2019-03-20,152.5596
2019-03-21,154.5937
2019-03-22,151.8849
2019-03-25,151.8452
2019-03-26,154.0976
2019-03-27,153.026
2019-03-28,153.4725
2019-03-29,154.9807
2019-04-01,156.0424
2019-04-02,156.5584
2019-04-03,157.2331
2019-04-04,156.4195
2019-04-05,156.4294
2019-04-08,156.5286
2019-04-09,156.2706
2019-04-10,157.3324
2019-04-11,156.6378
2019-04-12,158.404
2019-04-15,159.1978
2019-04-16,158.9894
2019-04-17,159.1978
2019-04-18,158.92
2019-04-22,159.1581
2019-04-23,160.4084
2019-04-24,160.2397
2019-04-25,159.7733
2019-04-26,161.6685
2019-04-29,162.8791
2019-04-30,163.1569
2019-05-01,161.5296
2019-05-02,159.8725
2019-05-03,160.7854
2019-05-06,161.0236
2019-05-07,158.9696
2019-05-08,159.5153
2019-05-09,158.5727
2019-05-10,159.4657
2019-05-13,156.1119
2019-05-14,158.9696
2019-05-15,161.5296
2019-05-16,163.8451
2019-05-17,163.07
2019-05-20,162.4538
2019-05-21,162.8414
2019-05-22,163.2191
2019-05-23,160.506
2019-05-24,161.629
2019-05-28,162.6923
2019-05-29,161.7184
2019-05-30,161.7482
2019-05-31,160.3271
2019-06-03,157.6141
2019-06-04,161.3209
2019-06-05,164.3619
2019-06-06,165.8824
2019-06-07,168.9929
2019-06-10,169.7581
