price_date,close_price
2019-01-02,154.795
2019-01-03,139.3763
2019-01-04,145.3261
2019-01-07,145.0027
2019-01-08,147.7669
2019-01-09,150.2762
2019-01-10,150.7565
2019-01-11,149.2764
2019-01-14,147.0317
2019-01-15,150.041
2019-01-16,151.874
2019-01-17,152.7757
2019-01-18,153.7168
2019-01-22,150.2664
2019-01-23,150.8741
2019-01-24,149.6783
2019-01-25,154.6382
2019-01-28,153.207
2019-01-29,151.6191
2019-01-30,161.9799
2019-01-31,163.1464
2019-02-01,163.2248
2019-02-04,167.8612
2019-02-05,170.7332
2019-02-06,170.792
2019-02-07,167.5573
2019-02-08,167.7542
2019-02-11,166.7895
2019-02-12,168.2267
2019-02-13,167.5278
2019-02-14,168.1382
2019-02-15,167.7641
2019-02-19,168.2661
2019-02-20,169.349
2019-02-21,168.3941
2019-02-22,170.2743
2019-02-25,171.5147
2019-02-26,171.6131
2019-02-27,172.1447
2019-02-28,170.4515
2019-03-01,172.2431
2019-03-04,173.1094
2019-03-05,172.7944
2019-03-06,171.8002
2019-03-07,169.8116
2019-03-08,170.2153
2019-03-11,176.1119
2019-03-12,178.0906
2019-03-13,178.8781
2019-03-14,180.8666
2019-03-15,183.2194
2019-03-18,185.0898
2019-03-19,183.623
2019-03-20,185.2276
2019-03-21,192.0496
2019-03-22,188.0725
2019-03-25,185.7985
2019-03-26,183.8789
2019-03-27,185.5327
2019-03-28,185.7788
2019-03-29,186.9897
2019-04-01,188.2596
2019-04-02,190.9963
2019-04-03,192.3055
2019-04-04,192.6402
2019-04-05,193.9298
2019-04-08,196.9815
2019-04-09,196.3908
2019-04-10,197.4934
2019-04-11,195.8494
2019-04-12,195.7707
2019-04-15,196.125
2019-04-16,196.1447
2019-04-17,199.9643
2019-04-18,200.6829
2019-04-22,201.3425
2019-04-23,204.2465
2019-04-24,203.9315
2019-04-25,202.0808
2019-04-26,201.116
2019-04-29,201.4212
2019-04-30,197.5426
2019-05-01,207.2391
2019-05-02,205.8905
2019-05-03,208.45
2019-05-06,205.2309
2019-05-07,199.6985
2019-05-08,199.7379
2019-05-09,197.5918
2019-05-10,194.8545
2019-05-13,183.5297
2019-05-14,186.435
2019-05-15,188.6683
2019-05-16,187.8383
2019-05-17,186.771
2019-05-20,180.9307
2019-05-21,184.3993
2019-05-22,180.6243
2019-05-23,177.5411
2019-05-24,176.8593
2019-05-28,176.128
2019-05-29,175.288
2019-05-30,176.1972
2019-05-31,173.0053
2019-06-03,171.2561
2019-06-04,177.5214
2019-06-05,180.3871
2019-06-06,183.0356
2019-06-07,187.9074
2019-06-10,190.3088
2019-06-11,192.5125
2019-06-12,191.8998
2019-06-13,191.8602
2019-06-14,190.4669
2019-06-17,191.6033
